"City","Total"
São Paulo,2
Prague,2
Paris,2
Mountain View,2
London,2
Berlin,2
Yellowknife,1
Winnipeg,1
Warsaw,1
Vienne,1
Vancouver,1
Tucson,1
Toronto,1
São José dos Campos,1
Stuttgart,1
Stockholm,1
Sidney,1
Santiago,1
Salt Lake City,1
Rome,1
Rio de Janeiro,1
Reno,1
Redmond,1
Porto,1
Ottawa,1
Oslo,1
Orlando,1
New York,1
Montréal,1
Madrid,1
Madison,1
Lyon,1
Lisbon,1
Helsinki,1
Halifax,1
Frankfurt,1
Fort Worth,1
Edmonton,1
Edinburgh ,1
Dublin,1
Dijon,1
Delhi,1
Cupertino,1
Copenhagen,1
Chicago,1
Buenos Aires,1
Budapest,1
Brussels,1
Brasília,1
Boston,1
Bordeaux,1
Bangalore,1
Amsterdam,1
